timestamp,ticker,action,reason,yes_price,days_to_close,market_title
2026-03-24T20:38:28.108937Z,KXNBA2HWINNER-26MAR25TORLAC-TIE,buy,"98% implied, closes in 15d; momentum: short history (no veto)",98,15,737,722.26,19159.8,Toronto vs Los Angeles C: Second Half Winner?
2026-03-25T02:09:24.532892Z,KXMVECROSSCATEGORY-S2026D28C3424970-8365743494A,settle,"NO won, payout $0.00, P/L $-1999.90",,,2857,1999.9,19159.8,"yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Brandon Miller: 10+,yes C"
2026-03-25T02:09:24.533942Z,KXMVECROSSCATEGORY-S2026E2FE4497F02-9C47A3B24BB,settle,"NO won, payout $0.00, P/L $-1572.20",,,2246,1572.2,19159.8,"yes Jalen Brunson: 2+,yes Josh Hart: 4+,yes Brandon Miller: 2+,yes New York,yes "
2026-03-25T02:09:24.982226Z,KXMVECROSSCATEGORY-S2026E6F52A70AEB-0129377D6D7,buy,"66% implied, closes in 14d; momentum: short history (no veto)",66,14,1082,714.12,18445.68,"yes Jamal Murray: 2+,yes Nikola Jokić: 1+,yes Devin Booker: 1+,yes Nikola Jokić: 10+,yes Devin Booke"
2026-03-25T02:14:32.582446Z,KXMVESPORTSMULTIGAMEEXTENDED-S2026B346AFAA912-8C648C80130,settle,"YES won, payout $2340.00, P/L $+140.40",,,2340,2199.6,22832.68,"yes LaMelo Ball: 2+,yes DeMar DeRozan: 2+,yes Charlotte,yes LaMelo Ball: 10+"
2026-03-25T02:14:32.584985Z,KXMVESPORTSMULTIGAMEEXTENDED-S2026F9BAC12A475-60FE4AAAC11,settle,"YES won, payout $2047.00, P/L $+675.51",,,2047,1371.49,22832.68,"yes James Harden: 2+,yes Karl-Anthony Towns: 15+,yes Evan Mobley: 10+,no New Orl"
2026-03-25T02:14:36.740995Z,KXMVESPORTSMULTIGAMEEXTENDED-S202699B627F9D4D-DAE05CC5415,buy,"62% implied, closes in 13d; momentum: short history (no veto)",62,13,2551,1581.62,21251.06,"yes Cleveland,yes NJ Devils,yes STL Blues"
2026-03-25T02:14:36.742624Z,KXMVESPORTSMULTIGAMEEXTENDED-S20260E086A3C29A-7E3600C7522,buy,"68% implied, closes in 14d; momentum: short history (no veto)",68,14,2318,1576.24,19674.82,"yes Jamal Murray: 1+,yes Devin Booker: 1+,yes Devin Booker: 2+,yes Jalen Green: 2+,yes Christian Bra"
2026-03-25T02:14:36.743821Z,KXMVECROSSCATEGORY-S2026E35F8452CDB-F14BF50A066,buy,"69% implied, closes in 14d; momentum: short history (no veto)",69,14,1545,1066.05,18608.77,"yes Devin Booker: 4+,yes Jamal Murray: 20+,yes Nikola Jokić: 25+,yes Devin Booker: 20+,yes Aaron Gor"
2026-03-25T02:19:40.831303Z,KXMVESPORTSMULTIGAMEEXTENDED-S2026438CBC3A2EB-7B234E8B1C5,settle,"NO won, payout $0.00, P/L $-1699.80",,,2833,1699.8,18608.77,"yes Charlotte,yes NYI Islanders,yes UTA Mammoth,yes BOS Bruins"
2026-03-25T02:19:43.996369Z,KXMVESPORTSMULTIGAMEEXTENDED-S20266BDFB86CC57-C7643F3D23A,buy,"65% implied, closes in 14d; momentum: short history (no veto)",65,14,523,339.95,18268.82,"yes Jamal Murray: 2+,yes Devin Booker: 1+,yes Nikola Jokić: 10+,yes Devin Booker: 2+,yes Aaron Gordo"
2026-03-25T02:31:17.674710Z,KXMVECROSSCATEGORY-S2026D6C4F1EAF08-CC8F302D4AD,settle,"NO won, payout $0.00, P/L $-1699.74",,,2698,1699.74,18268.82,"yes ANA Ducks,yes NYI Islanders,yes TB Lightning,yes DAL Stars,yes NSH Predators"
2026-03-25T02:31:21.481199Z,KXMVESPORTSMULTIGAMEEXTENDED-S2026240B310D712-9D18E5BC889,buy,"72% implied, closes in 14d; momentum: short history (no veto)",72,14,472,339.84,17928.98,"yes Denver,yes Los Angeles L,yes Aaron Gordon: 10+,yes Devin Booker: 20+,yes Over 218.5 points score"
2026-03-25T02:41:36.396774Z,KXMVESPORTSMULTIGAMEEXTENDED-S2026CF980FDAEB7-60A065B118E,settle,"NO won, payout $0.00, P/L $-2000.00",,,2500,2000.0,17928.98,"yes Josh Hart: 6+,yes New York,yes Josh Hart: 15+"
2026-03-25T02:41:41.381393Z,KXMVESPORTSMULTIGAMEEXTENDED-S202637C39F94418-7211D445C15,buy,"60% implied, closes in 14d; momentum: short history (no veto)",60,14,667,400.2,17528.78,"yes Aaron Gordon: 15+,yes Over 230.5 points scored"
2026-03-25T02:54:43.051936Z,KXMVECROSSCATEGORY-S2026ABF705CBEA5-E87C90BC4C6,settle,"YES won, payout $2380.00, P/L $+380.80",,,2380,1999.2,22606.78,"yes Cleveland,yes Josh Hart: 10+"
